Lead_ID,Counselling,Application,Enrolled
L14833,Y,Y,Yes
L14834,yes,no,Y
L14835,Yes,No,No
L14836,Y,N,
L14837,No,Y,no
L14838,N,,yes
L14839,,,Yes
L14840,N,Y,yes
L14841,N,Y,yes
L14842,yes,,yes
L14843,N,no,Y
L14844,No,Yes,yes
L14845,N,No,N
L14846,No,no,No
L14847,,no,
L14848,yes,,N
L14849,Yes,N,No
L14850,Y,No,N
L14851,yes,Yes,No
L14852,,,N
L14853,Yes,Yes,
L14854,,,no
L14855,N,,no
L14856,N,No,yes
L14857,,N,N
L14858,yes,Y,
L14859,,,Yes
L14860,yes,Yes,no
L14861,N,N,Y
L14862,Yes,Yes,
L14863,No,N,No
L14864,no,No,
L14865,Yes,no,yes
L14866,,,Y
L14867,no,,Y
L14868,no,Y,Yes
L14869,yes,no,N
L14870,,,N
L14871,,,
L14872,Yes,Yes,No
L14873,,N,
L14874,Yes,N,No
L14875,No,Yes,no
L14876,no,,no
L14877,No,yes,Y
L14878,,N,Y
L14879,Y,,Y
L14880,,N,No
L14881,,no,Y
L14882,no,No,N
L14883,No,,
L14884,No,no,No
L14885,,No,no
L14886,no,,Yes
L14887,N,,no
L14888,,,No
L14889,N,Yes,No
L14890,No,,no
L14891,Y,Yes,
L14892,Yes,Y,
L14893,Y,no,no
L14894,no,Yes,No
L14895,yes,Y,yes
L14896,N,,no
L14897,N,Yes,Y
L14898,no,Y,N
L14899,,N,
L14900,,no,no
L14901,,No,Yes
L14902,N,Y,
L14903,N,Yes,No
L14904,Yes,yes,Yes
L14905,Y,yes,Yes
L14906,N,no,yes
L14907,No,No,no
L14908,No,yes,Y
L14909,yes,N,N
L14910,Y,,no
L14911,No,,No
L14912,no,yes,no
L14913,No,Y,yes
L14914,,No,Y
L14915,,,
L14916,N,,No
L14917,Yes,N,No
L14918,Y,yes,Yes
L14919,No,No,No
L14920,No,Y,yes
L14921,Yes,N,Yes
L14922,,No,no
L14923,N,Y,
L14924,No,no,Y
L14925,yes,No,Y
L14926,N,No,
L14927,,yes,No
L14928,Y,,
L14929,,,Y
L14930,No,no,no
L14931,no,No,
L14932,No,yes,N
L14933,N,yes,Y
L14934,yes,,
L14935,N,Y,
L14936,N,,Yes
L14937,no,yes,No
L14938,N,N,yes
L14939,yes,,Y
L14940,Yes,Yes,Y
L14941,no,Y,No
L14942,no,N,N
L14943,yes,Y,Yes
L14944,yes,Y,N
L14945,Yes,no,No
L14946,no,N,yes
L14947,N,No,N
L14948,no,yes,N
L14949,N,N,
L14950,,yes,
L14951,,N,No
L14952,N,No,N
L14953,no,Y,No
L14954,no,,Y
L14955,Yes,N,yes
L14956,,Y,no
L14957,No,N,Yes
L14958,no,N,
L14959,Y,N,No
L14960,Yes,Yes,
L14961,N,,N
L14962,,Yes,
L14963,No,yes,no
L14964,yes,Y,Y
L14965,,no,
L14966,N,No,yes
L14967,N,Y,yes
L14968,,yes,Y
L14969,No,No,Y
L14970,yes,yes,Yes
L14971,Y,yes,no
L14972,Yes,No,No
L14973,No,Yes,Y
L14974,,N,
L14975,yes,no,
L14976,no,yes,yes
L14977,Y,,Y
L14978,Y,Y,Y
L14979,Yes,,N
L14980,Yes,no,yes
L14981,Yes,Y,yes
L14982,,,yes
L14983,,yes,Y
L14984,Yes,N,No
L14985,no,,N
L14986,Y,Yes,N
L14987,no,,
L14988,Yes,yes,yes
L14989,No,N,Yes
L14990,,yes,N
L14991,,,
L14992,yes,Y,
L14993,No,Yes,Yes
L14994,Y,No,No
L14995,Y,Yes,
L14996,no,,No
L14997,,Y,N
L14998,yes,,Y
L14999,Yes,yes,N
L15000,Yes,,
L15001,No,No,Yes
L15002,,no,No
L15003,,Yes,N
L15004,yes,,no
L15005,no,Y,Yes
L15006,,no,Y
L15007,Yes,N,
L15008,Y,,N
L15009,Yes,,No
L15010,yes,Y,
L15011,N,Yes,
L15012,,,Y
L15013,Y,,
L15014,no,yes,no
L15015,Yes,yes,yes
L15016,Y,N,
L15017,no,,no
L15018,yes,,
L15019,N,Y,Yes
L15020,no,N,yes
L15021,no,,Yes
L15022,Y,N,No
L15023,Yes,no,No
L15024,Y,yes,Y
L15025,,,Yes
L15026,No,Yes,
L15027,Y,Y,yes
L15028,Y,no,N
L15029,,no,yes
L15030,Yes,N,yes
L15031,,N,
L15032,,N,No
L15033,N,No,no
L15034,yes,,
L15035,No,yes,No
L15036,Yes,No,
L15037,N,,
L15038,Yes,no,
L15039,,No,N
L15040,no,yes,yes
L15041,No,yes,Y
L15042,,No,yes
L15043,no,,
L15044,no,N,yes
L15045,Yes,,no
L15046,,yes,
L15047,yes,no,Y
L15048,,Y,
L15049,Yes,,Y
L15050,,No,no
L15051,,Yes,Yes
L15052,Y,,
L15053,yes,yes,
L15054,,Yes,no
L15055,No,N,yes
L15056,yes,No,
L15057,No,,No
L15058,no,No,yes
L15059,Yes,Yes,Y
L15060,,no,
L15061,Yes,Y,no
L15062,,yes,Y
L15063,Y,yes,Y
L15064,,No,yes
L15065,,Yes,Y
L15066,Yes,Y,Yes
L15067,yes,,yes
L15068,Y,,N
L15069,,yes,
L15070,,N,
L15071,Yes,,No
L15072,Y,Yes,
L15073,Yes,No,yes
L15074,,Y,Y
L15075,,No,No
L15076,,Yes,yes
L15077,Yes,,Y
L15078,N,No,Yes
L15079,no,yes,Y
L15080,N,,Yes
L15081,Yes,No,N
L15082,,no,no
L15083,Yes,no,Y
L15084,,,Y
L15085,yes,,
L15086,No,no,N
L15087,yes,yes,
L15088,,No,
L15089,Y,yes,Yes
L15090,,no,Yes
L15091,Y,N,yes
L15092,Yes,Y,
L15093,Yes,no,Yes
L15094,no,N,No
L15095,Yes,Yes,
L15096,yes,Y,
L15097,yes,no,Y
L15098,yes,No,
L15099,yes,Y,No
L15100,No,yes,no
L15101,N,Y,
L15102,,No,no
L15103,yes,yes,No
L15104,yes,no,no
L15105,Y,,N
L15106,N,N,
L15107,N,No,
L15108,,Y,Y
L15109,,,Y
L15110,,Yes,N
L15111,,N,yes
L15112,Y,Y,yes
L15113,Y,yes,Yes
L15114,N,,Yes
L15115,N,no,
L15116,Yes,Y,no
L15117,Y,,yes
L15118,,No,Yes
L15119,Yes,N,
L15120,Y,no,yes
L15121,yes,No,no
L15122,Y,Y,no
L15123,,,N
L15124,no,Yes,no
L15125,Yes,Y,N
L15126,yes,,yes
L15127,N,,
L15128,,No,Yes
L15129,yes,No,no
L15130,,,
L15131,yes,,Yes
L15132,N,No,
L15133,Y,Yes,
L15134,,,N
L15135,,Yes,N
L15136,,N,N
L15137,Yes,,yes
L15138,yes,Y,No
L15139,yes,No,Yes
L15140,Y,no,No
L15141,N,,No
L15142,yes,,no
L15143,,no,Yes
L15144,N,Y,
L15145,yes,no,
L15146,N,Y,Yes
L15147,No,Y,no
L15148,Y,yes,
L15149,No,Y,yes
L15150,N,,N
L15151,No,Y,Yes
L15152,,Yes,
L15153,,yes,No
L15154,Y,No,
L15155,yes,,Y
L15156,yes,no,Y
L15157,Yes,,No
L15158,Yes,Y,No
L15159,,N,Yes
L15160,N,Y,yes
L15161,Y,,yes
L15162,,No,Yes
L15163,no,,no
L15164,No,,N
L15165,N,,Y
L15166,Y,Y,No
L15167,yes,Yes,yes
L15168,No,no,no
L15169,Yes,,Y
L15170,No,Y,No
L15171,Yes,,Yes
L15172,,yes,no
L15173,Y,N,No
L15174,Yes,N,
L15175,,yes,
L15176,,No,Yes
L15177,Y,,No
L15178,Y,N,Yes
L15179,yes,N,
L15180,no,yes,N
L15181,N,No,Yes
L15182,no,Y,
L15183,N,yes,Y
L15184,no,Yes,N
L15185,Y,No,no
L15186,,yes,
L15187,N,no,
L15188,,Yes,
L15189,,Yes,yes
L15190,N,No,Y
L15191,Y,yes,yes
L15192,,no,Y
L15193,N,,Yes
L15194,yes,yes,Y
L15195,,yes,
L15196,,yes,Yes
L15197,N,No,no
L15198,yes,N,
L15199,,N,
L15200,Yes,No,No
L15201,Yes,No,Yes
L15202,Y,,yes
L15203,no,,
L15204,,yes,Yes
L15205,,yes,Yes
L15206,No,no,
L15207,yes,,
L15208,No,,
L15209,N,,
L15210,No,Yes,
L15211,,,yes
L15212,Y,Yes,Yes
L15213,,yes,Yes
L15214,Yes,Yes,yes
L15215,no,yes,No
L15216,No,,
L15217,yes,Y,no
L15218,yes,Yes,Yes
L15219,yes,No,Yes
L15220,N,N,
L15221,No,No,No
L15222,N,No,No
L15223,,Y,no
L15224,Yes,No,
L15225,no,Y,
L15226,,,
L15227,No,yes,Yes
L15228,Yes,,
L15229,,no,no
L15230,,Y,No
L15231,,No,
L15232,,,
L15233,no,,No
L15234,no,No,Yes
L15235,N,Y,N
L15236,,Yes,yes
L15237,no,No,Y
L15238,N,Yes,
L15239,no,Yes,No
L15240,no,,Yes
L15241,,,yes
L15242,,no,N
L15243,N,no,no
L15244,Yes,,no
L15245,,N,no
L15246,,no,yes
L15247,,,Y
L15248,no,N,yes
L15249,No,yes,
L15250,,,yes
L15251,Yes,N,No
L15252,no,Y,N
L15253,Yes,Yes,Yes
L15254,Yes,N,yes
L15255,yes,No,no
L15256,Yes,yes,No
L15257,yes,,no
L15258,,,
L15259,Y,no,
L15260,,Y,
L15261,yes,,Yes
L15262,Y,,
L15263,Y,,
L15264,Y,yes,No
L15265,yes,,
L15266,Yes,N,
L15267,no,,Yes
L15268,N,No,yes
L15269,Y,yes,No
L15270,no,,Yes
L15271,,Yes,N
L15272,Yes,no,no
L15273,Y,yes,
L15274,Y,,
L15275,Y,Yes,yes
L15276,Y,,N
L15277,yes,,
L15278,yes,yes,
L15279,No,No,No
L15280,no,no,
L15281,no,no,N
L15282,,yes,yes
L15283,No,Y,N
L15284,yes,No,No
L15285,No,No,No
L15286,Y,No,Y
L15287,yes,Y,
L15288,Y,Y,No
L15289,No,No,Yes
L15290,no,no,Yes
L15291,Yes,Yes,Yes
L15292,N,yes,yes
L15293,,,Y
L15294,Yes,yes,Yes
L15295,,Y,no
L15296,N,No,yes
L15297,Y,No,
L15298,N,no,
L15299,Yes,,Y
L15300,Y,yes,yes
L15301,No,No,Y
L15302,yes,yes,yes
L15303,no,N,N
L15304,Y,yes,
L15305,,,
L15306,yes,No,yes
L15307,yes,yes,Yes
L15308,,,Yes
L15309,Y,yes,Yes
L15310,no,,no
L15311,no,no,N
L15312,yes,,No
L15313,Yes,Y,No
L15314,,Y,Y
L15315,,no,no
L15316,yes,,Y
L15317,No,No,
L15318,N,yes,Y
L15319,N,N,no
L15320,Y,,
L15321,yes,N,no
L15322,,,no
L15323,no,N,No
L15324,No,No,
L15325,yes,,N
L15326,Y,,Y
L15327,Y,N,No
L15328,Y,N,no
L15329,no,Yes,
L15330,N,yes,
L15331,Y,Yes,N
L15332,No,no,
L15333,,Yes,no
L15334,,Y,yes
L15335,Yes,N,
L15336,No,N,
L15337,no,,yes
L15338,no,yes,No
L15339,No,yes,yes
L15340,No,,yes
L15341,No,no,
L15342,no,yes,yes
L15343,,no,Yes
L15344,Y,yes,Y
L15345,N,,Y
L15346,no,Yes,Y
L15347,Y,,Y
L15348,,yes,
L15349,,no,
L15350,No,N,no
L15351,N,N,yes
L15352,N,,
L15353,N,,no
L15354,N,Yes,Y
L15355,Y,N,Y
L15356,yes,N,No
L15357,Yes,no,
L15358,Y,N,
L15359,,Y,
L15360,Yes,Yes,
L15361,No,Y,
L15362,Yes,N,
L15363,yes,N,N
L15364,N,no,No
L15365,no,Y,No
L15366,Yes,,no
L15367,no,yes,
L15368,,Yes,yes
L15369,no,Yes,yes
L15370,,Y,No
L15371,Y,,
L15372,Yes,Y,Y
L15373,N,Yes,Y
L15374,Y,no,
L15375,N,Y,Y
L15376,N,Y,
L15377,Yes,N,
L15378,,no,N
L15379,yes,no,Yes
L15380,yes,Yes,
L15381,Y,Y,no
L15382,No,Yes,Yes
L15383,,,
L15384,no,No,no
L15385,no,,N
L15386,Yes,Yes,Y
L15387,yes,,no
L15388,,Yes,
L15389,,no,no
L15390,Y,N,yes
L15391,No,Yes,no
L15392,,N,
L15393,,,yes
L15394,Yes,yes,Y
L15395,yes,,
L15396,No,,Yes
L15397,No,,
L15398,Y,Yes,yes
L15399,Y,no,Yes
L15400,yes,No,yes
L15401,,no,
L15402,Y,no,No
L15403,,N,
L15404,Yes,yes,
L15405,no,No,Yes
L15406,Yes,,
L15407,N,yes,yes
L15408,Yes,N,
L15409,No,No,yes
L15410,,yes,No
L15411,yes,Yes,yes
L15412,,,yes
L15413,yes,No,Y
L15414,No,Yes,yes
L15415,Yes,yes,No
L15416,Yes,Y,Yes
L15417,no,Yes,N
L15418,no,Y,Y
L15419,yes,Y,no
L15420,Yes,no,N
L15421,N,No,
L15422,no,yes,Yes
L15423,,N,yes
L15424,No,Y,no
L15425,Yes,Yes,No
L15426,,Yes,
L15427,N,no,no
L15428,Y,no,
L15429,no,yes,
L15430,No,,No
L15431,No,,Yes
L15432,,N,Yes
L15433,Y,yes,Y
L15434,,Yes,Y
L15435,,Y,yes
L15436,no,Yes,yes
L15437,,Y,yes
L15438,yes,Yes,
L15439,No,yes,
L15440,Yes,N,no
L15441,yes,,Y
L15442,N,,N
L15443,No,Y,Yes
L15444,No,yes,Y
L15445,,N,
L15446,Y,N,
L15447,no,yes,Y
L15448,no,Yes,
L15449,N,Yes,
L15450,Y,no,
L15451,Y,yes,
L15452,N,N,
L15453,,no,N
L15454,,No,
L15455,yes,yes,
L15456,yes,no,Y
L15457,N,No,
L15458,Y,,Yes
L15459,yes,yes,Yes
L15460,Yes,yes,Yes
L15461,N,,Yes
L15462,Y,,yes
L15463,N,No,yes
L15464,no,,No
L15465,no,,yes
L15466,Y,Yes,N
L15467,no,No,
L15468,No,,Yes
L15469,Yes,,N
L15470,No,N,
L15471,Y,Y,No
L15472,no,yes,
L15473,,Y,No
L15474,N,,Y
L15475,yes,No,no
L15476,No,Yes,Y
L15477,No,Y,No
L15478,no,N,yes
L15479,yes,no,
L15480,Y,,no
L15481,no,no,No
L15482,Yes,yes,
L15483,Yes,yes,no
L15484,Y,Yes,No
L15485,Y,Yes,Y
L15486,Yes,N,
L15487,,no,N
L15488,,Yes,no
L15489,,N,No
L15490,N,no,
L15491,N,Y,
L15492,yes,no,no
L15493,Y,Yes,No
L15494,Yes,Yes,
L15495,yes,no,No
L15496,,No,no
L15497,,No,yes
L15498,N,Yes,No
L15499,yes,no,yes
L15500,Y,No,N
L15501,No,yes,No
L15502,yes,Y,N
L15503,Y,Y,No
L15504,yes,,No
L15505,,no,yes
L15506,,No,No
L15507,,no,yes
L15508,no,Yes,Y
L15509,,Yes,no
L15510,yes,yes,yes
L15511,No,Yes,Yes
L15512,N,no,No
L15513,yes,Y,no
L15514,No,Y,
L15515,Yes,No,
L15516,,Yes,no
L15517,No,No,
L15518,yes,Yes,Y
L15519,,Y,no
L15520,Yes,Y,no
L15521,N,N,Yes
L15522,N,yes,Yes
L15523,,Y,
L15524,Yes,Yes,Yes
L15525,Yes,Y,N
L15526,Yes,,Yes
L15527,yes,Y,yes
L15528,Y,Y,
L15529,No,no,
L15530,Y,N,
L15531,,No,Yes
L15532,Y,no,no
L15533,No,yes,Yes
L15534,no,N,No
L15535,No,N,no
L15536,no,,yes
L15537,No,Yes,Yes
L15538,N,,no
L15539,Y,no,N
L15540,Y,Yes,
L15541,N,yes,Yes
L15542,,N,N
L15543,No,No,No
L15544,Yes,Yes,
L15545,no,No,N
L15546,Yes,yes,
L15547,,N,N
L15548,,No,Yes
L15549,no,yes,No
L15550,N,Y,
L15551,Y,N,N
L15552,no,yes,no
L15553,Y,yes,No
L15554,No,No,N
L15555,N,,
L15556,,Yes,No
L15557,,Y,
L15558,No,no,Y
L15559,,N,no
L15560,yes,no,
L15561,,Yes,yes
L15562,yes,Yes,No
L15563,,,no
L15564,No,,No
L15565,yes,,N
L15566,,,Y
L15567,N,Y,yes
L15568,No,yes,yes
L15569,Yes,Yes,N
L15570,Y,Y,
L15571,No,,N
L15572,yes,Yes,
L15573,,N,No
L15574,N,yes,N
L15575,,N,no
L15576,,Yes,Yes
L15577,yes,,
L15578,,Y,Yes
L15579,,yes,
L15580,yes,yes,no
L15581,Yes,N,
L15582,N,Yes,
L15583,Yes,No,no
L15584,,No,no
L15585,,,No
L15586,,N,N
L15587,,,no
L15588,N,N,Yes
L15589,Yes,No,yes
L15590,,Yes,
L15591,No,Yes,yes
L15592,Y,N,no
L15593,Yes,Yes,
L15594,,no,
L15595,,no,
L15596,yes,,Yes
L15597,yes,Y,no
L15598,Yes,,
L15599,N,,no
L15600,Y,Y,no
L15601,Y,N,
L15602,N,yes,no
L15603,Y,Y,N
L15604,N,Y,Y
L15605,yes,no,No
L15606,No,No,Yes
L15607,,Y,no
L15608,,Y,No
L15609,no,Y,N
L15610,Yes,Y,Y
L15611,,,No
L15612,Yes,no,Y
L15613,no,No,no
L15614,,N,Y
L15615,,,yes
L15616,,no,no
L15617,,no,Y
L15618,,No,
L15619,no,Yes,no
L15620,,Y,Y
L15621,yes,Y,No
L15622,yes,no,N
L15623,Yes,yes,
L15624,,Y,N
L15625,N,Yes,
L15626,,no,
L15627,,No,Yes
L15628,No,,yes
L15629,N,Yes,no
L15630,Yes,,
L15631,Yes,,
L15632,Yes,yes,No
L15633,,,Y
L15634,yes,N,yes
L15635,Yes,,Yes
L15636,,,no
L15637,,,Y
L15638,No,,yes
L15639,,,
L15640,,,
L15641,No,yes,yes
L15642,No,yes,
L15643,Yes,No,
L15644,no,Yes,
L15645,Yes,yes,
L15646,,yes,Yes
L15647,no,N,Y
L15648,Yes,no,Y
L15649,No,No,No
L15650,,yes,Y
L15651,no,No,Yes
L15652,,yes,N
L15653,,Y,
L15654,No,Y,
L15655,Yes,Yes,N
L15656,,,No
L15657,yes,,N
L15658,no,,N
L15659,,,N
L15660,Yes,,Y
L15661,,Yes,yes
L15662,No,N,Yes
L15663,Y,N,no
L15664,N,No,no
L15665,yes,No,Yes
L15666,Y,no,Yes
L15667,,,no
L15668,,No,no
L15669,N,,no
L15670,,Yes,
L15671,Y,,No
L15672,yes,no,Yes
L15673,No,yes,N
L15674,Y,Yes,No
L15675,Y,yes,
L15676,Yes,Yes,Y
L15677,yes,,No
L15678,,,yes
L15679,N,,Yes
L15680,,Y,Y
L15681,no,Y,
L15682,Y,no,no
L15683,Yes,,yes
L15684,yes,,N
L15685,N,N,N
L15686,N,,
L15687,no,No,Y
L15688,no,no,Y
L15689,Y,No,yes
L15690,No,N,Yes
L15691,yes,,Y
L15692,,no,No
L15693,,,No
L15694,Yes,yes,No
L15695,,no,Yes
L15696,yes,No,no
L15697,Yes,yes,Y
L15698,,,No
L15699,Y,yes,N
L15700,yes,no,
L15701,Y,Yes,Yes
L15702,No,,no
L15703,,N,
L15704,,Y,Y
L15705,Yes,Y,no
L15706,No,no,No
L15707,Yes,Yes,no
L15708,,yes,N
L15709,N,,Yes
L15710,No,yes,N
L15711,yes,,No
L15712,N,N,Y
L15713,Yes,,N
L15714,,No,N
L15715,Y,No,yes
L15716,Yes,Yes,Y
L15717,,no,
L15718,no,no,N
L15719,,No,Y
L15720,Yes,Y,
L15721,Yes,,
L15722,N,,Y
L15723,no,Yes,Yes
L15724,No,no,
L15725,,,
L15726,No,,N
L15727,Yes,,No
L15728,No,,Y
L15729,,yes,Yes
L15730,no,,Yes
L15731,Y,N,No
L15732,No,yes,
L15733,Yes,no,Yes
L15734,,,N
L15735,Y,Yes,No
L15736,Y,Y,N
L15737,,Y,Yes
L15738,Y,,N
L15739,,N,No
L15740,Yes,no,
L15741,Y,Yes,no
L15742,no,Y,Y
L15743,Y,no,
L15744,,,No
L15745,N,No,No
L15746,N,No,no
L15747,,,N
L15748,,N,
L15749,no,Y,N
L15750,Yes,N,Y
L15751,,Yes,
L15752,,N,
L15753,Yes,,yes
L15754,N,Y,
L15755,Yes,Yes,N
L15756,Y,,No
L15757,No,Y,Y
L15758,No,yes,
L15759,Y,,Yes
L15760,yes,No,Y
L15761,yes,N,
L15762,no,No,
L15763,No,Yes,No
L15764,Y,Y,no
L15765,,No,
L15766,Yes,,yes
L15767,No,no,Yes
L15768,Y,Y,no
L15769,N,Yes,No
L15770,,Yes,
L15771,,no,no
L15772,N,yes,
L15773,,N,N
L15774,yes,,Yes
L15775,N,No,N
L15776,N,yes,N
L15777,yes,N,
L15778,yes,Yes,Y
L15779,N,Yes,no
L15780,no,N,Yes
L15781,,N,N
L15782,Y,Y,no
L15783,Y,Yes,
L15784,N,No,N
L15785,,No,No
L15786,Yes,Yes,yes
L15787,,,
L15788,Y,,yes
L15789,Yes,yes,yes
L15790,N,Y,
L15791,,,Yes
L15792,yes,,
L15793,No,,
L15794,,Yes,yes
L15795,yes,Y,Yes
L15796,Y,no,No
L15797,Yes,no,Yes
L15798,yes,no,
L15799,,no,yes
L15800,,no,N
L15801,Y,,yes
L15802,Y,yes,
L15803,Yes,,N
L15804,N,yes,yes
L15805,no,,no
L15806,No,N,yes
L15807,,yes,yes
L15808,,Yes,Yes
L15809,no,,Y
L15810,yes,,no
L15811,no,no,Y
L15812,Yes,,
L15813,,Y,Yes
L15814,No,no,
L15815,no,Yes,yes
L15816,,,
L15817,no,,yes
L15818,,,Y
L15819,No,Yes,
L15820,yes,Yes,yes
L15821,,,
L15822,Yes,N,
L15823,,,
L15824,,,N
L15825,No,N,yes
L15826,,yes,no
L15827,yes,N,yes
L15828,No,Y,yes
L15829,Yes,N,Y
L15830,Yes,N,Yes
L15831,,no,
L15832,no,,yes
L15833,no,Yes,no
L15834,,no,Yes
L15835,Y,no,N
L15836,Y,yes,no
L15837,no,no,
L15838,Yes,N,Y
L15839,yes,,Yes
L15840,N,No,No
L15841,no,Y,no
L15842,Y,,No
L15843,Yes,No,no
L15844,N,N,Yes
L15845,,,no
L15846,No,yes,Y
L15847,no,no,N
L15848,,Y,no
L15849,no,Y,yes
L15850,yes,no,no
L15851,N,,Yes
L15852,,Yes,N
L15853,Yes,,Yes
L15854,yes,no,Y
L15855,,No,
L15856,,Y,Y
L15857,No,no,
L15858,Yes,,yes
L15859,yes,No,yes
L15860,No,Yes,yes
L15861,No,N,
L15862,no,Yes,Yes
L15863,N,Yes,no
L15864,N,,
L15865,Yes,,
L15866,No,N,No
L15867,yes,Yes,
L15868,Yes,N,
L15869,No,,
L15870,no,yes,yes
L15871,Y,N,
L15872,Y,yes,Y
L15873,N,N,
L15874,,yes,Y
L15875,Y,,yes
L15876,No,Yes,
L15877,No,Yes,N
L15878,yes,N,Yes
L15879,Y,Y,
L15880,Y,N,Y
L15881,Yes,,
L15882,Yes,no,No
L15883,No,no,no
L15884,N,,N
L15885,,yes,Y
L15886,No,N,No
L15887,,no,
L15888,no,,no
L15889,N,N,Yes
L15890,Y,,No
L15891,Y,yes,
L15892,,N,N
L15893,No,no,
L15894,,Y,yes
L15895,,Yes,N
L15896,,No,
L15897,,Y,no
L15898,,,Yes
L15899,yes,no,
L15900,,No,Y
L15901,,,Yes
L15902,Yes,No,No
L15903,,No,yes
L15904,Y,Yes,yes
L15905,,Y,
L15906,yes,yes,Y
L15907,N,Yes,
L15908,Yes,,N
L15909,,Yes,No
L15910,N,,no
L15911,no,yes,
L15912,,No,
L15913,,,No
L15914,,,Y
L15915,N,No,Y
L15916,N,,N
L15917,No,N,yes
L15918,yes,,N
L15919,Yes,no,no
L15920,,No,No
L15921,,,Yes
L15922,No,N,yes
L15923,,no,
L15924,No,yes,Yes
L15925,,No,Yes
L15926,Y,N,N
L15927,,Yes,Yes
L15928,Yes,no,No
L15929,No,Y,
L15930,,Yes,
L15931,Y,N,Yes
L15932,,,
L15933,,No,Yes
L15934,,No,Yes
L15935,,N,Y
L15936,No,no,Yes
L15937,Yes,,yes
L15938,No,Y,Yes
L15939,no,,no
L15940,,,
L15941,no,Y,No
L15942,no,yes,
L15943,no,No,Yes
L15944,,yes,N
L15945,N,N,Y
L15946,yes,no,yes
L15947,,No,yes
L15948,No,,Y
L15949,No,,Y
L15950,No,,N
L15951,No,yes,
L15952,Y,,N
L15953,yes,yes,
L15954,,N,Yes
L15955,No,no,
L15956,Y,N,No
L15957,N,,Yes
L15958,yes,no,
L15959,Y,N,Y
L15960,,Y,
L15961,no,Yes,No
L15962,,N,
L15963,no,,Yes
L15964,Y,no,yes
L15965,No,no,no
L15966,yes,N,
L15967,Yes,No,N
L15968,,N,N
L15969,Y,,
L15970,,Y,yes
L15971,Y,no,no
L15972,,yes,yes
L15973,Y,,yes
L15974,No,yes,Y
L15975,Y,Y,Y
L15976,Yes,,N
L15977,no,Y,
L15978,no,,Y
L15979,,No,no
L15980,yes,no,No
L15981,yes,N,No
L15982,no,,
L15983,Yes,no,Y
L15984,Yes,N,Yes
L15985,No,yes,no
L15986,no,N,no
L15987,no,yes,Y
L15988,yes,Yes,Y
L15989,No,Y,Y
L15990,no,Y,yes
L15991,yes,no,no
L15992,yes,,
L15993,N,N,Y
L15994,yes,,N
L15995,yes,Yes,yes
L15996,,No,Yes
L15997,,Y,
L15998,Yes,no,Y
L15999,,no,no
L16000,Y,no,no
L16001,,yes,Yes
L16002,,no,Y
L16003,yes,,no
L16004,Yes,,No
L16005,N,Yes,
L16006,Y,,no
L16007,Yes,Yes,
L16008,Y,No,
L16009,,yes,yes
L16010,Yes,Yes,No
L16011,No,N,
L16012,Yes,,
L16013,No,no,
L16014,,No,
L16015,Y,,No
L16016,,yes,Yes
L16017,no,,Yes
L16018,no,Yes,No
L16019,yes,Y,yes
L16020,N,No,
L16021,,No,Y
L16022,Y,yes,No
L16023,N,No,Yes
L16024,Yes,yes,Y
L16025,yes,N,No
L16026,,Y,N
L16027,Yes,yes,Y
L16028,no,No,no
L16029,yes,Yes,Yes
L16030,Y,No,
L16031,,No,yes
L16032,Y,yes,no
L16033,yes,,N
L16034,N,yes,N
L16035,N,N,Y
L16036,,N,
L16037,yes,,
L16038,Yes,No,
L16039,,Yes,no
L16040,Yes,,N
L16041,Y,No,
L16042,Y,No,No
L16043,,no,N
L16044,yes,Yes,No
L16045,N,,No
L16046,,No,
L16047,No,,
L16048,,,
L16049,yes,Y,
L16050,yes,Yes,
L16051,,Yes,
L16052,N,N,no
L16053,no,N,Yes
L16054,N,N,yes
L16055,,Yes,Y
L16056,,Yes,Yes
L16057,yes,N,Y
L16058,,N,
L16059,no,yes,N
L16060,Yes,,no
L16061,No,Yes,Yes
L16062,N,yes,yes
L16063,yes,N,
L16064,N,,No
L16065,,N,yes
L16066,Yes,Yes,yes
L16067,yes,Y,yes
L16068,yes,no,No
L16069,,yes,yes
L16070,Yes,no,no
L16071,yes,yes,yes
L16072,No,yes,yes
L16073,yes,Yes,N
L16074,no,No,no
L16075,N,Yes,Yes
L16076,Yes,No,no
L16077,no,Yes,Y
L16078,No,Yes,
L16079,yes,N,
L16080,Yes,Y,No
L16081,Yes,Y,
L16082,no,Y,
L16083,No,no,no
L16084,,yes,No
L16085,no,yes,
L16086,N,Yes,no
L16087,N,yes,yes
L16088,Y,,yes
L16089,No,Y,
L16090,yes,N,Y
L16091,Y,N,Yes
L16092,no,,
L16093,no,,no
L16094,,,
L16095,No,Y,Y
L16096,No,No,no
L16097,N,No,
L16098,N,no,No
L16099,no,yes,Y
L16100,Yes,No,Yes
L16101,yes,N,N
L16102,No,yes,
L16103,,N,
L16104,N,,no
L16105,Yes,N,
L16106,no,No,No
L16107,N,no,No
L16108,no,Y,N
L16109,Yes,Yes,Y
L16110,,Yes,yes
L16111,no,N,Y
L16112,yes,Yes,Y
L16113,,Yes,No
L16114,,Y,Yes
L16115,Yes,,Y
L16116,yes,,
L16117,,No,
L16118,No,no,yes
L16119,,,N
L16120,Y,no,No
L16121,,Yes,yes
L16122,yes,Yes,
L16123,,Yes,No
L16124,Y,Yes,N
